votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips,result
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2013,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2016,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2020,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2050,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2060,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2068,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2070,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2090,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2100,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2105,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2110,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2122,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2130,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2150,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2164,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2170,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2180,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2185,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2188,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2195,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2198,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2220,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2230,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2240,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2261,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2270,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2275,R
93003,130413,246588,0.3771594725,0.528870018,"37,410",15.17%,AK,Alaska,2282,R
